music_name,music_url,translate_names
Eternal Dream　～ 幽玄的枫树,https://thwiki.cc/Eternal_Dream_%EF%BD%9E_%E5%B9%BD%E7%8E%84%E7%9A%84%E6%9E%AB%E6%A0%91,Eternal Dream　～ 幽玄の槭樹|Eternal Dream　～ 幽玄的枫树|Eternal Dream ~ Mystical Maple
Extend Ash　～ 蓬莱人,https://thwiki.cc/Extend_Ash_%EF%BD%9E_%E8%93%AC%E8%8E%B1%E4%BA%BA,エクステンドアッシュ　～ 蓬莱人|Extend Ash　～ 蓬莱人|Extend Ash ~ Person of Hourai
Extra Love,https://thwiki.cc/Extra_Love,エキストララブ|Extra Love|Extra Love|额外的喜爱
Fall of Fall　～ 秋意渐浓之瀑,https://thwiki.cc/Fall_of_Fall_%EF%BD%9E_%E7%A7%8B%E6%84%8F%E6%B8%90%E6%B5%93%E4%B9%8B%E7%80%91,フォールオブフォール　～ 秋めく滝|Fall of Fall　～ 秋意渐浓之瀑|Fall of Fall ~ Autumnal Waterfall
False Strawberry,https://thwiki.cc/False_Strawberry,フォルスストロベリー|False Strawberry|False Strawberry|伪莓|虚假的草莓‎
Fantastic Drift,https://thwiki.cc/Fantastic_Drift,ファンタスティックドリフト|Fantastic Drift|Fantastic Drift|奇幻漂流
Flowering Night,https://thwiki.cc/Flowering_Night,フラワリングナイト|Flowering Night|Flowering Night|花开之夜
Four-Color Labyrinth,https://thwiki.cc/Four-Color_Labyrinth,フォーカラーラビリンス|Four-Color Labyrinth|Four-Color Labyrinth|四色迷宫
Frontal Attack,https://thwiki.cc/Frontal_Attack,Frontal Attack|Frontal Attack|Frontal Attack|正面攻击
G Free,https://thwiki.cc/G_Free,G Free|G Free|G Free
Game Over,https://thwiki.cc/Game_Over,ゲームオーバー|Game Over|Game Over
Ghost Lead,https://thwiki.cc/Ghost_Lead,ゴーストリード|Ghost Lead|Ghost Lead|亡灵的引导
Heartfelt Fancy,https://thwiki.cc/Heartfelt_Fancy,ハートフェルトファンシー|Heartfelt Fancy|Heartfelt Fancy|由衷的幻想|从心底萌发的幻想
Herselves,https://thwiki.cc/Herselves,ハーセルヴズ|Herselves|Herselves|她们自己
Highly Responsive to Prayers,https://thwiki.cc/Highly_Responsive_to_Prayers,Highly Responsive to Prayers|Highly Responsive to Prayers|Highly Responsive to Prayers
Incomplete Plot,https://thwiki.cc/Incomplete_Plot,Incomplete Plot|Incomplete Plot|Incomplete Plot|未完成的剧情
Init,https://thwiki.cc/Init,Init|Init|Init|「ZUN Soft」表示音
Into Backdoor,https://thwiki.cc/Into_Backdoor,イントゥ・バックドア|Into Backdoor|Into Backdoor|进入后门
Inventive City,https://thwiki.cc/Inventive_City,Inventive City|Inventive City|Inventive City|创新之都
Japanese Saga,https://thwiki.cc/Japanese_Saga,ジャパニーズサーガ|Japanese Saga|Japanese Saga|日本的传奇|日本物语
Jelly Stone,https://thwiki.cc/Jelly_Stone,ジェリーストーン|Jelly Stone|Jelly Stone|水母石
Last Occultism　～ 现世的秘术师,https://thwiki.cc/Last_Occultism_%EF%BD%9E_%E7%8E%B0%E4%B8%96%E7%9A%84%E7%A7%98%E6%9C%AF%E5%B8%88,ラストオカルティズム　～ 現し世の秘術師|Last Occultism　～ 现世的秘术师|Last Occultism ~ Esotericist of the Present World
Last Remote,https://thwiki.cc/Last_Remote,ラストリモート|Last Remote|Last Remote
Lastword发动,https://thwiki.cc/Lastword%E5%8F%91%E5%8A%A8,ラストワード発動|Lastword发动|Last Word Unleashed
Locked Girl　～ 少女密室,https://thwiki.cc/Locked_Girl_%EF%BD%9E_%E5%B0%91%E5%A5%B3%E5%AF%86%E5%AE%A4,ラクトガール　～ 少女密室|Locked Girl　～ 少女密室|Locked Girl ~ The Girl's Sealed Room
Loose Rain,https://thwiki.cc/Loose_Rain,ルーズレイン|Loose Rain|Loose Rain|散漫之雨
Lost River,https://thwiki.cc/Lost_River,ロストリバー|Lost River|Lost River|迷失之河|失落之河
Lotus Love,https://thwiki.cc/Lotus_Love,Lotus Love|Lotus Love|Lotus Love|忘忧之爱|莲之爱
Lotus Road,https://thwiki.cc/Lotus_Road,Lotus Road|Lotus Road|Lotus Road|忘忧之路|莲之道
Lucid Dreamer,https://thwiki.cc/Lucid_Dreamer,ルーシッドドリーマー|Lucid Dreamer|Lucid Dreamer|清醒的梦中人
Lunar Rainbow,https://thwiki.cc/Lunar_Rainbow,ルナレインボー|Lunar Rainbow|Lunar Rainbow|月虹
Lunate Elf,https://thwiki.cc/Lunate_Elf,ルーネイトエルフ|Lunate Elf|Lunate Elf|新月般的妖精‎
Lunatic Dreamer,https://thwiki.cc/Lunatic_Dreamer,ルナティックドリーマー|Lunatic Dreamer|Lunatic Dreamer|疯狂的梦中人
Magic of Life,https://thwiki.cc/Magic_of_Life,Magic of Life|Magic of Life|Magic of Life
Magic Shop of Raspberry,https://thwiki.cc/Magic_Shop_of_Raspberry,Magic Shop of Raspberry|Magic Shop of Raspberry|Magic Shop of Raspberry|树莓魔法商店|树莓魔法店
Magical and Hopeless,https://thwiki.cc/Magical_and_Hopeless,Magical and Hopeless|Magical and Hopeless|Magical and Hopeless|魔幻与绝望
Magical Storm,https://thwiki.cc/Magical_Storm,マジカルストーム|Magical Storm|Magical Storm|魔法风暴|魔力的风暴
Magus Night,https://thwiki.cc/Magus_Night,メイガスナイト|Magus Night|Magus Night|魔法使之夜|魔法师之夜|贤者之夜|魔法骑士|魔法师骑士|Magus Knight|祭司骑士
Maniacal Princess,https://thwiki.cc/Maniacal_Princess,Maniacal Princess|Maniacal Princess|Maniacal Princess|狂热的公主|疯狂的公主
Maple Dream...,https://thwiki.cc/Maple_Dream...,Maple Dream...|Maple Dream...|Maple Dream...|枫之梦...
Maple Wise,https://thwiki.cc/Maple_Wise,メイプルワイズ|Maple Wise|Maple Wise|枫之智慧
Midnight Spell Card,https://thwiki.cc/Midnight_Spell_Card,ミッドナイトスペルカード|Midnight Spell Card|Midnight Spell Card|午夜符卡‎
Mist Lake,https://thwiki.cc/Mist_Lake,ミストレイク|Mist Lake|Mist Lake|雾之湖
Mushroom·Waltz,https://thwiki.cc/Mushroom%C2%B7Waltz,マッシュルーム・ワルツ|Mushroom·Waltz|Mushroom Waltz|蘑菇华尔兹
"My Maid, Sweet Maid","https://thwiki.cc/My_Maid,_Sweet_Maid","My Maid, Sweet Maid|My Maid, Sweet Maid|My Maid, Sweet Maid|我的女仆，我甜美的女仆"
Mysterious Shrine,https://thwiki.cc/Mysterious_Shrine,Mysterious Shrine|Mysterious Shrine|Mysterious Shrine|神秘的神社
Mystic Dream,https://thwiki.cc/Mystic_Dream,Mystic Dream|Mystic Dream|Mystic Dream|神秘之梦
Native Faith,https://thwiki.cc/Native_Faith,ネイティブフェイス|Native Faith|Native Faith|土著神的信仰
Necro-Fantasia,https://thwiki.cc/Necro-Fantasia,ネクロファンタジア|Necro-Fantasia|Necrofantasia|死亡幻想曲|亡灵幻想曲
Newshound,https://thwiki.cc/Newshound,ニュースハウンド|Newshound|Newshound|狗仔队
Nightmare Diary,https://thwiki.cc/Nightmare_Diary,ナイトメアダイアリー|Nightmare Diary|Nightmare Diary|噩梦日记|梦魇日志
Oriental Dark Flight,https://thwiki.cc/Oriental_Dark_Flight,オリエンタルダークフライト|Oriental Dark Flight|Oriental Dark Flight
Oriental Magician,https://thwiki.cc/Oriental_Magician,Oriental Magician|Oriental Magician|Oriental Magician|东方的魔术师|东方的魔法使
Outsider Cocktail,https://thwiki.cc/Outsider_Cocktail,アウトサイダーカクテル|Outsider Cocktail|Outsider Cocktail|外人鸡尾酒
Pandemonic Planet,https://thwiki.cc/Pandemonic_Planet,パンデモニックプラネット|Pandemonic Planet|Pandemonic Planet|万魔星球|潘地漫尼克星球
Peaceful,https://thwiki.cc/Peaceful,Peaceful|Peaceful|Peaceful
Peaceful Romancer,https://thwiki.cc/Peaceful_Romancer,Peaceful Romancer|Peaceful Romancer|Peaceful Romancer
Phantasmagoria,https://thwiki.cc/Phantasmagoria,Phantasmagoria|Phantasmagoria|Phantasmagoria
Plain Asia,https://thwiki.cc/Plain_Asia,プレインエイジア|Plain Asia|Plain Asia|一如既往的东方|东方的平原
Plastic Mind,https://thwiki.cc/Plastic_Mind,プラスチックマインド|Plastic Mind|Plastic Mind
Plastic Space,https://thwiki.cc/Plastic_Space,Plastic Space|Plastic Space|Plastic Space|可塑性空间
Player's Score,https://thwiki.cc/Player%27s_Score,プレイヤーズスコア|Player's Score|Player's Score|玩家得分|玩家的分数
Primrose Shiver,https://thwiki.cc/Primrose_Shiver,プリムローズシヴァ|Primrose Shiver|Primrose Shiver|战栗的樱草
Pure Furies　～ 心之所在,https://thwiki.cc/Pure_Furies_%EF%BD%9E_%E5%BF%83%E4%B9%8B%E6%89%80%E5%9C%A8,ピュアヒューリーズ　～ 心の在処|Pure Furies　～ 心之所在|Pure Furies ~ Whereabouts of the Heart
Reincarnation,https://thwiki.cc/Reincarnation,Reincarnation|Reincarnation|Reincarnation|重生
Reverse Ideology,https://thwiki.cc/Reverse_Ideology,リバースイデオロギー|Reverse Ideology|Reverse Ideology|颠倒世界观|倒转的世界观|颠倒的观念
Rigid Paradise,https://thwiki.cc/Rigid_Paradise,リジッドパラダイス|Rigid Paradise|Rigid Paradise|僵硬的乐园
Romantic Children,https://thwiki.cc/Romantic_Children,Romantic Children|Romantic Children|Romantic Children|浪漫的孩子
Sacred Battle,https://thwiki.cc/Sacred_Battle,Sacred Battle|Sacred Battle|Sacred Battle|神圣之战
Sacred Forest,https://thwiki.cc/Sacred_Forest,セイクリッドフォレスト|Sacred Forest|Sacred Forest|神圣森林
Sailor of Time,https://thwiki.cc/Sailor_of_Time,Sailor of Time|Sailor of Time|Sailor of Time|时之水手
Selection,https://thwiki.cc/Selection,Selection|Selection|Selection
Selene's light,https://thwiki.cc/Selene%27s_light,Selene's light|Selene's light|Selene's light
Seraphic Chicken,https://thwiki.cc/Seraphic_Chicken,セラフィックチキン|Seraphic Chicken|Seraphic Chicken|如天使般的鸡
She's in a temper!!,https://thwiki.cc/She%27s_in_a_temper!!,She's in a temper!!|She's in a temper!!|She's in a temper!!|她怒了！！
Silk Road Alice,https://thwiki.cc/Silk_Road_Alice,シルクロードアリス|Silk Road Alice|Silk Road Alice|丝绸之路的爱丽丝‎
Sky Ruin,https://thwiki.cc/Sky_Ruin,スカイルーイン|Sky Ruin|Sky Ruin|天空遗迹
Sleep Sheep·Parade,https://thwiki.cc/Sleep_Sheep%C2%B7Parade,スリープシープ・パレード|Sleep Sheep·Parade|Sleep Sheep Parade|眠羊游行
Smoking Dragon,https://thwiki.cc/Smoking_Dragon,スモーキングドラゴン|Smoking Dragon|Smoking Dragon|吞云吐雾的龙
Star Voyage2008,https://thwiki.cc/Star_Voyage2008,スターヴォヤージュ2008|Star Voyage2008|Star Voyage 2008
Starbow Dream,https://thwiki.cc/Starbow_Dream,スターボウドリーム|Starbow Dream|Starbow Dream|星虹之梦
Strawberry Crisis!!,https://thwiki.cc/Strawberry_Crisis!!,Strawberry Crisis!!|Strawberry Crisis!!|Strawberry Crisis!!|草莓危机！！
Sunny Rutile Flection,https://thwiki.cc/Sunny_Rutile_Flection,サニールチルフレクション|Sunny Rutile Flection|Sunny Rutile Flection|桑尼金红石折射‎
Tabula rasa　～ 空白少女,https://thwiki.cc/Tabula_rasa_%EF%BD%9E_%E7%A9%BA%E7%99%BD%E5%B0%91%E5%A5%B3,Tabula rasa　～空白少女|Tabula rasa　～ 空白少女|Tabula rasa ~ The Empty Girl
the Grimoire of Alice,https://thwiki.cc/the_Grimoire_of_Alice,the Grimoire of Alice|the Grimoire of Alice|the Grimoire of Alice|爱丽丝的魔法书
the Last Judgement,https://thwiki.cc/the_Last_Judgement,the Last Judgement|the Last Judgement|the Last Judgement|最后的审判|最终审判
The Legend of KAGE,https://thwiki.cc/The_Legend_of_KAGE,The Legend of KAGE|The Legend of KAGE|The Legend of KAGE|影之传说
The Positive and Negative,https://thwiki.cc/The_Positive_and_Negative,The Positive and Negative|The Positive and Negative|Positive and Negative|阴与阳
Theme of Eastern Story,https://thwiki.cc/Theme_of_Eastern_Story,テーマ・オブ・イースタンストーリー|Theme of Eastern Story|Theme of Eastern Story
Tiny Shangri-La,https://thwiki.cc/Tiny_Shangri-La,タイニーシャングリラ|Tiny Shangri-La|Tiny Shangri-La|小小的香格里拉
Titled Maid,https://thwiki.cc/Titled_Maid,タイトルドメイド|Titled Maid|Titled Maid|有头衔的女仆
Tortoise Dragon　～ 幸运与不幸,https://thwiki.cc/Tortoise_Dragon_%EF%BD%9E_%E5%B9%B8%E8%BF%90%E4%B8%8E%E4%B8%8D%E5%B9%B8,トータスドラゴン　～ 幸運と不運|Tortoise Dragon　～ 幸运与不幸|Tortoise Dragon ~ Fortune and Misfortune
U.N.OWEN就是她吗？,https://thwiki.cc/U.N.OWEN%E5%B0%B1%E6%98%AF%E5%A5%B9%E5%90%97%EF%BC%9F,U.N.オーエンは彼女なのか？|U.N.OWEN就是她吗？|U.N. Owen Was Her?
Ultimate Truth,https://thwiki.cc/Ultimate_Truth,アルティメットトゥルース|Ultimate Truth|Ultimate Truth|究极的真实‎
Unlocated Hell,https://thwiki.cc/Unlocated_Hell,アンロケイテッドヘル|Unlocated Hell|Unlocated Hell|未定位的地狱
Voyage1969,https://thwiki.cc/Voyage1969,ヴォヤージュ1969|Voyage1969|Voyage 1969|旅人1969
Voyage1970,https://thwiki.cc/Voyage1970,ヴォヤージュ1970|Voyage1970|Voyage 1970|旅人1970
Witch of Love Potion,https://thwiki.cc/Witch_of_Love_Potion,Witch of Love Potion|Witch of Love Potion|Witch of Love Potion|爱情魔药的魔女|媚药的女巫
Witching Dream,https://thwiki.cc/Witching_Dream,Witching Dream|Witching Dream|Witching Dream
七玉搜集大摊牌,https://thwiki.cc/%E4%B8%83%E7%8E%89%E6%90%9C%E9%9B%86%E5%A4%A7%E6%91%8A%E7%89%8C,七玉蒐集ショウダウン|七玉搜集大摊牌|Seven-Orb Collection Showdown
七石之狼、登天吞云,https://thwiki.cc/%E4%B8%83%E7%9F%B3%E4%B9%8B%E7%8B%BC%E3%80%81%E7%99%BB%E5%A4%A9%E5%90%9E%E4%BA%91,七ツ石の狼、雲を取りに駆ける|七石之狼、登天吞云|The Wolves of Nanatsuishi Dash to Seize the Clouds
上海红茶馆　～ Chinese Tea,https://thwiki.cc/%E4%B8%8A%E6%B5%B7%E7%BA%A2%E8%8C%B6%E9%A6%86_%EF%BD%9E_Chinese_Tea,上海紅茶館　～ Chinese Tea|上海红茶馆　～ Chinese Tea|Shanghai Scarlet Teahouse ~ Chinese Tea
不变的日常,https://thwiki.cc/%E4%B8%8D%E5%8F%98%E7%9A%84%E6%97%A5%E5%B8%B8,不変の日常|不变的日常|Unchanging Daily Life
不可不禁止的游戏,https://thwiki.cc/%E4%B8%8D%E5%8F%AF%E4%B8%8D%E7%A6%81%E6%AD%A2%E7%9A%84%E6%B8%B8%E6%88%8F,禁じざるをえない遊戯|不可不禁止的游戏|The Inevitably Forbidden Game|不得不禁止的游戏|无法回避的禁忌游戏
不可思议之国的爱丽丝,https://thwiki.cc/%E4%B8%8D%E5%8F%AF%E6%80%9D%E8%AE%AE%E4%B9%8B%E5%9B%BD%E7%9A%84%E7%88%B1%E4%B8%BD%E4%B8%9D,不思議の国のアリス|不可思议之国的爱丽丝|Alice in Wonderland
不可思议的驱魔棒,https://thwiki.cc/%E4%B8%8D%E5%8F%AF%E6%80%9D%E8%AE%AE%E7%9A%84%E9%A9%B1%E9%AD%94%E6%A3%92,不思議なお祓い棒|不可思议的驱魔棒|Mysterious Purification Rod|不可思议的御币
不回首的黄泉路,https://thwiki.cc/%E4%B8%8D%E5%9B%9E%E9%A6%96%E7%9A%84%E9%BB%84%E6%B3%89%E8%B7%AF,振り向かない黄泉の道|不回首的黄泉路|The Path to Yomi Where None Turn Back
不朽的曼珠沙华,https://thwiki.cc/%E4%B8%8D%E6%9C%BD%E7%9A%84%E6%9B%BC%E7%8F%A0%E6%B2%99%E5%8D%8E,不朽の曼珠沙華|不朽的曼珠沙华|Everlasting Red Spider Lily
不灭的赤魂,https://thwiki.cc/%E4%B8%8D%E7%81%AD%E7%9A%84%E8%B5%A4%E9%AD%82,不滅のレッドソウル|不灭的赤魂|Immortal Red Soul
不等式的廷克·贝尔,https://thwiki.cc/%E4%B8%8D%E7%AD%89%E5%BC%8F%E7%9A%84%E5%BB%B7%E5%85%8B%C2%B7%E8%B4%9D%E5%B0%94,不等式のティンカーベル|不等式的廷克·贝尔|Tinkerbell of Inequality|不等式的奇妙仙子
不自然的自然,https://thwiki.cc/%E4%B8%8D%E8%87%AA%E7%84%B6%E7%9A%84%E8%87%AA%E7%84%B6,不自然な自然|不自然的自然|Unnatural Nature
丑时三刻的村落,https://thwiki.cc/%E4%B8%91%E6%97%B6%E4%B8%89%E5%88%BB%E7%9A%84%E6%9D%91%E8%90%BD,丑三つ時の里|丑时三刻的村落|The Village in the Dead of Night|丑时三刻的村庄
世界的尽头　～ World's End,https://thwiki.cc/%E4%B8%96%E7%95%8C%E7%9A%84%E5%B0%BD%E5%A4%B4_%EF%BD%9E_World%27s_End,世界の果て　～ World's End|世界的尽头　～ World's End|End of the World ~ World's End
世间万物皆可爱,https://thwiki.cc/%E4%B8%96%E9%97%B4%E4%B8%87%E7%89%A9%E7%9A%86%E5%8F%AF%E7%88%B1,世界は可愛く出来ている|世间万物皆可爱|The World Is Made in an Adorable Way|世界如此可爱
业火地幔,https://thwiki.cc/%E4%B8%9A%E7%81%AB%E5%9C%B0%E5%B9%94,業火マントル|业火地幔|Hellfire Mantle
东之国的不眠夜,https://thwiki.cc/%E4%B8%9C%E4%B9%8B%E5%9B%BD%E7%9A%84%E4%B8%8D%E7%9C%A0%E5%A4%9C,東の国の眠らない夜|东之国的不眠夜|Sleepless Night of the Eastern Country
东方刚欲异闻,https://thwiki.cc/%E4%B8%9C%E6%96%B9%E5%88%9A%E6%AC%B2%E5%BC%82%E9%97%BB%EF%BC%88%E6%9B%B2%E7%9B%AE%EF%BC%89,東方剛欲異聞|东方刚欲异闻|Eastern Strange Tale of Avarice
东方妖妖梦　～ Ancient Temple,https://thwiki.cc/%E4%B8%9C%E6%96%B9%E5%A6%96%E5%A6%96%E6%A2%A6_%EF%BD%9E_Ancient_Temple,東方妖々夢　～ Ancient Temple|东方妖妖梦　～ Ancient Temple|Eastern Ghostly Dream ~ Ancient Temple
东方妖怪小町,https://thwiki.cc/%E4%B8%9C%E6%96%B9%E5%A6%96%E6%80%AA%E5%B0%8F%E7%94%BA,東方妖怪小町|东方妖怪小町|Eastern Youkai Beauty|东方妖怪美人|东方妖怪小镇
东方妖恋谈,https://thwiki.cc/%E4%B8%9C%E6%96%B9%E5%A6%96%E6%81%8B%E8%B0%88,東方妖恋談|东方妖恋谈|Eastern Mystical Love Consultation
东方封魔录　～净土曼荼罗,https://thwiki.cc/%E4%B8%9C%E6%96%B9%E5%B0%81%E9%AD%94%E5%BD%95_%EF%BD%9E%E5%87%80%E5%9C%9F%E6%9B%BC%E8%8D%BC%E7%BD%97,東方封魔録　～浄土曼荼羅|东方封魔录　～净土曼荼罗|Eastern Demon-Sealing Record ~ Pure Land Mandala
东方封魔录　～幽幻乱舞,https://thwiki.cc/%E4%B8%9C%E6%96%B9%E5%B0%81%E9%AD%94%E5%BD%95_%EF%BD%9E%E5%B9%BD%E5%B9%BB%E4%B9%B1%E8%88%9E,東方封魔録　～幽幻乱舞|东方封魔录　～幽幻乱舞|Eastern Demon-Sealing Record ~ Spectral Boisterous Dance
东方怪奇谈,https://thwiki.cc/%E4%B8%9C%E6%96%B9%E6%80%AA%E5%A5%87%E8%B0%88,東方怪奇談|东方怪奇谈|Eastern Strange Discourse
东方的蓝色天空,https://thwiki.cc/%E4%B8%9C%E6%96%B9%E7%9A%84%E8%93%9D%E8%89%B2%E5%A4%A9%E7%A9%BA,東方の青い空|东方的蓝色天空|Eastern Blue Sky
东方绯想天,https://thwiki.cc/%E4%B8%9C%E6%96%B9%E7%BB%AF%E6%83%B3%E5%A4%A9%EF%BC%88%E6%9B%B2%E7%9B%AE%EF%BC%89,東方緋想天|东方绯想天|Eastern Heaven of Scarlet Perception
东方萃梦想,https://thwiki.cc/%E4%B8%9C%E6%96%B9%E8%90%83%E6%A2%A6%E6%83%B3%EF%BC%88%E6%9B%B2%E7%9B%AE%EF%BC%89,東方萃夢想|东方萃梦想|Eastern Memory of Forgathering Dream
东风,https://thwiki.cc/%E4%B8%9C%E9%A3%8E,あゆのかぜ|东风|Eastern Wind
两方世界,https://thwiki.cc/%E4%B8%A4%E6%96%B9%E4%B8%96%E7%95%8C,二つの世界|两方世界|Two Worlds|两个世界
久远之梦,https://thwiki.cc/%E4%B9%85%E8%BF%9C%E4%B9%8B%E6%A2%A6,久遠の夢|久远之梦|Dream of Eternity
九月的南瓜,https://thwiki.cc/%E4%B9%9D%E6%9C%88%E7%9A%84%E5%8D%97%E7%93%9C,九月のパンプキン|九月的南瓜|September Pumpkin
争奇斗艳的凭依华,https://thwiki.cc/%E4%BA%89%E5%A5%87%E6%96%97%E8%89%B3%E7%9A%84%E5%87%AD%E4%BE%9D%E5%8D%8E,咲き誇る憑依華|争奇斗艳的凭依华|Possession Flowers in Full Bloom
事已至此就赌上性命来猜谜吧,https://thwiki.cc/%E4%BA%8B%E5%B7%B2%E8%87%B3%E6%AD%A4%E5%B0%B1%E8%B5%8C%E4%B8%8A%E6%80%A7%E5%91%BD%E6%9D%A5%E7%8C%9C%E8%B0%9C%E5%90%A7,どうせなら命を賭けて謎を解け|事已至此就赌上性命来猜谜吧|Might as Well Stake Your Life to Solve the Riddle
二人不值一提的博物志,https://thwiki.cc/%E4%BA%8C%E4%BA%BA%E4%B8%8D%E5%80%BC%E4%B8%80%E6%8F%90%E7%9A%84%E5%8D%9A%E7%89%A9%E5%BF%97,他愛も無い二人の博物誌|二人不值一提的博物志|The Childlike Duo's Naturalis Historia|天真无邪的二人的博物志
二色莲花蝶　～ Ancients,https://thwiki.cc/%E4%BA%8C%E8%89%B2%E8%8E%B2%E8%8A%B1%E8%9D%B6_%EF%BD%9E_Ancients,二色蓮花蝶　～ Ancients|二色莲花蝶　～ Ancients|Dichromatic Lotus Butterfly ~ Ancients
云外苍天,https://thwiki.cc/%E4%BA%91%E5%A4%96%E8%8B%8D%E5%A4%A9,雲外蒼天|云外苍天|Skies Beyond the Clouds
亡失的情感,https://thwiki.cc/%E4%BA%A1%E5%A4%B1%E7%9A%84%E6%83%85%E6%84%9F,亡失のエモーション|亡失的情感|The Lost Emotion
人偶存在的风景,https://thwiki.cc/%E4%BA%BA%E5%81%B6%E5%AD%98%E5%9C%A8%E7%9A%84%E9%A3%8E%E6%99%AF,人形のある風景|人偶存在的风景|Scenery with Dolls
人偶森林,https://thwiki.cc/%E4%BA%BA%E5%81%B6%E6%A3%AE%E6%9E%97,人形の森|人偶森林|Forest of Dolls
人偶裁判　～ 玩弄人形的少女,https://thwiki.cc/%E4%BA%BA%E5%81%B6%E8%A3%81%E5%88%A4_%EF%BD%9E_%E7%8E%A9%E5%BC%84%E4%BA%BA%E5%BD%A2%E7%9A%84%E5%B0%91%E5%A5%B3,人形裁判　～ 人の形弄びし少女|人偶裁判　～ 玩弄人形的少女|Doll Judgement ~ The Girl Who Played with People's Shapes
